date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:17	17105/17105	---MCZ	200	added ('OK')	text/html	etag:W/%228ce0c4cf77c6052997db5a109abe19f0%22	https://gerold.vercel.app/home-9	D:/arolax/deep%20port/gerold.vercel.app/home-9.html	(from )
19:04:17	2695/2695	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22106bc1c9369fa0d9eb8aad5791d78e54%22	https://gerold.vercel.app/robots.txt		(from )
19:04:18	1443/1443	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a0b76c52705fc6d5a59ed21acb50e05e%22	https://gerold.vercel.app/img/icons/hero-9-pointer.svg	D:/arolax/deep%20port/gerold.vercel.app/img/icons/hero-9-pointer.svg	(from https://gerold.vercel.app/home-9)
19:04:18	879980/879980	---M--	200	added ('OK')	image/png	etag:%220e7de1938d74a42b7ebd6bd9f627d4f4%22	https://gerold.vercel.app/img/hero/hero-9-thumb.png	D:/arolax/deep%20port/gerold.vercel.app/img/hero/hero-9-thumb.png	(from https://gerold.vercel.app/home-9)
19:04:19	1711/1711	---M--	200	added ('OK')	image/png	etag:%22c935b9cd13be569f958463df230c3f12%22	https://gerold.vercel.app/img/roll/roll-img1.png	D:/arolax/deep%20port/gerold.vercel.app/img/roll/roll-img1.png	(from https://gerold.vercel.app/home-9)
19:04:19	1195/1195	---M--	200	added ('OK')	image/png	etag:%220828ec53c5c0ba5daa8f8506491c7f55%22	https://gerold.vercel.app/img/roll/roll-img2.png	D:/arolax/deep%20port/gerold.vercel.app/img/roll/roll-img2.png	(from https://gerold.vercel.app/home-9)
19:04:19	1141/1141	---M--	200	added ('OK')	image/png	etag:%224d165d06408b22a1221411207ddabca0%22	https://gerold.vercel.app/img/roll/roll-img3.png	D:/arolax/deep%20port/gerold.vercel.app/img/roll/roll-img3.png	(from https://gerold.vercel.app/home-9)
19:04:20	1222/1222	---M--	200	added ('OK')	image/png	etag:%2298282beabd733f3cdfa4d7a821dd66ed%22	https://gerold.vercel.app/img/roll/roll-img4.png	D:/arolax/deep%20port/gerold.vercel.app/img/roll/roll-img4.png	(from https://gerold.vercel.app/home-9)
19:04:20	1284/1284	---M--	200	added ('OK')	image/png	etag:%229423f6f9fd628dc17ab458bc3ead5670%22	https://gerold.vercel.app/img/roll/roll-img5.png	D:/arolax/deep%20port/gerold.vercel.app/img/roll/roll-img5.png	(from https://gerold.vercel.app/home-9)
19:04:20	1049/1049	---M--	200	added ('OK')	image/png	etag:%220fae3109467f750f90968793d0e122b5%22	https://gerold.vercel.app/img/roll/roll-img6.png	D:/arolax/deep%20port/gerold.vercel.app/img/roll/roll-img6.png	(from https://gerold.vercel.app/home-9)
